ctx,key,en,nl,fr,de
trnreg,login_failed,Incorrect username or password.,Onjuiste gebruikersnaam of wachtwoord.,Nom d'utilisateur ou mot de passe incorrect.,Falscher Benutzername oder falsches Passwort.
trnreg,logged_in_as,Logged in as,Aangemeld als,Connecté en tant que,Angemeldet als
trnreg,admin_title,My tournaments,Mijn toernooien,Mes tournois,Meine Turniere
trnreg,admin_new_tournament,New tournament,Nieuw toernooi,Nouveau tournoi,Neues Turnier
trnreg,admin_no_tournaments,You have no tournaments yet.,U heeft nog geen toernooien.,Vous n'avez pas encore de tournoi.,Sie haben noch keine Turniere.
trnreg,admin_manage_registrations,Manage registrations,Inschrijvingen beheren,Gérer les inscriptions,Anmeldungen verwalten
trnreg,admin_edit_tournament,Edit,Wijzigen,Modifier,Bearbeiten
trnreg,admin_view_public_page,View public page,Openbare pagina bekijken,Voir la page publique,Öffentliche Seite ansehen
trnreg,admin_delete_tournament,Delete tournament,Toernooi verwijderen,Supprimer le tournoi,Turnier löschen
trnreg,admin_delete_tournament_title,Delete this tournament?,Dit toernooi verwijderen?,Supprimer ce tournoi ?,Dieses Turnier löschen?
trnreg,admin_delete_tournament_warning,This permanently deletes the tournament and every one of its registrations. This cannot be undone. Type the tournament name below to confirm.,Dit verwijdert het toernooi en al zijn inschrijvingen permanent. Dit kan niet ongedaan gemaakt worden. Typ de naam van het toernooi hieronder ter bevestiging.,Ceci supprime définitivement le tournoi ainsi que toutes ses inscriptions. Cette action est irréversible. Tapez le nom du tournoi ci-dessous pour confirmer.,"Dies löscht das Turnier und alle seine Anmeldungen dauerhaft. Dies kann nicht rückgängig gemacht werden. Geben Sie unten den Namen des Turniers ein, um zu bestätigen."
trnreg,admin_delete_tournament_type_name,Type the tournament name to confirm,Typ de toernooinaam ter bevestiging,Tapez le nom du tournoi pour confirmer,"Geben Sie den Turniernamen ein, um zu bestätigen"
trnreg,admin_delete_tournament_confirm_btn,Delete permanently,Permanent verwijderen,Supprimer définitivement,Endgültig löschen
trnreg,admin_delete_tournament_success,Tournament deleted.,Toernooi verwijderd.,Tournoi supprimé.,Turnier gelöscht.
trnreg,admin_delete_tournament_failed,Failed to delete tournament.,Verwijderen van toernooi mislukt.,Échec de la suppression du tournoi.,Löschen des Turniers fehlgeschlagen.
trnreg,admin_back_to_tournaments,Back to my tournaments,Terug naar mijn toernooien,Retour à mes tournois,Zurück zu meinen Turnieren
trnreg,admin_export_csv,Download CSV,CSV downloaden,Télécharger le CSV,CSV herunterladen
trnreg,admin_export_swar_a,Download SWAR (category A),SWAR downloaden (categorie A),Télécharger SWAR (catégorie A),SWAR herunterladen (Kategorie A)
trnreg,admin_export_swar_b,Download SWAR (category B),SWAR downloaden (categorie B),Télécharger SWAR (catégorie B),SWAR herunterladen (Kategorie B)
trnreg,admin_export_swar_c,Download SWAR (category C),SWAR downloaden (categorie C),Télécharger SWAR (catégorie C),SWAR herunterladen (Kategorie C)
trnreg,admin_refresh_elo,Refresh ELO / FIDE data,ELO/FIDE-gegevens vernieuwen,Actualiser ELO / données FIDE,ELO-/FIDE-Daten aktualisieren
trnreg,admin_refresh_elo_result,Updated {count} registrations.,{count} inschrijvingen bijgewerkt.,{count} inscriptions mises à jour.,{count} Anmeldungen aktualisiert.
trnreg,admin_load_tournaments_failed,Failed to load your tournaments.,Laden van uw toernooien mislukt.,Échec du chargement de vos tournois.,Laden Ihrer Turniere fehlgeschlagen.
trnreg,admin_save_tournament_failed,Failed to save tournament.,Opslaan van het toernooi mislukt.,Échec de l'enregistrement du tournoi.,Speichern des Turniers fehlgeschlagen.
trnreg,admin_save_tournament_success,Tournament saved.,Toernooi opgeslagen.,Tournoi enregistré.,Turnier gespeichert.
trnreg,admin_export_failed,Download failed.,Downloaden mislukt.,Échec du téléchargement.,Herunterladen fehlgeschlagen.
trnreg,admin_refresh_elo_failed,Failed to refresh ELO / FIDE data.,Vernieuwen van ELO/FIDE-gegevens mislukt.,Échec de l'actualisation des données ELO / FIDE.,Aktualisieren der ELO-/FIDE-Daten fehlgeschlagen.
trnreg,field_name,Name,Naam,Nom,Name
trnreg,field_address,Address,Adres,Adresse,Adresse
trnreg,field_city,City,Stad,Ville,Stadt
trnreg,field_obligatory_presence,Mandatory presence,Verplichte aanwezigheid,Présence obligatoire,Anwesenheitspflicht
trnreg,field_system,System,Systeem,Système,System
trnreg,field_rounds,Rounds,Ronden,Rondes,Runden
trnreg,field_categories,Categories,Categorieën,Catégories,Kategorien
trnreg,add_category,Add category,Categorie toevoegen,Ajouter une catégorie,Kategorie hinzufügen
trnreg,remove_category,Remove,Verwijderen,Retirer,Entfernen
trnreg,field_opening_registrations,Opening of registrations,Opening van de inschrijvingen,Ouverture des inscriptions,Beginn der Anmeldung
trnreg,field_closing_registrations,Closing of registrations,Sluiting van de inschrijvingen,Clôture des inscriptions,Anmeldeschluss
trnreg,field_date_start,Start date,Startdatum,Date de début,Startdatum
trnreg,field_date_end,End date,Einddatum,Date de fin,Enddatum
trnreg,field_time_control,Time control,Tempo,Cadence,Bedenkzeit
trnreg,field_time_control_details,Time control details,Ander tempo,Détails de la cadence,Details zur Bedenkzeit
trnreg,field_swar_cadence_number,SWAR cadence number,SWAR-cadansnummer,Numéro de cadence SWAR,SWAR-Kadenznummer
trnreg,cadence_needs_time_control,Pick a time control first,Kies eerst een tempo,Choisissez d'abord une cadence,Wählen Sie zuerst eine Bedenkzeit
trnreg,field_event_code_fide_a,FIDE event code (A),FIDE-evenementcode (A),Code événement FIDE (A),FIDE-Event-Code (A)
trnreg,field_event_code_fide_b,FIDE event code (B),FIDE-evenementcode (B),Code événement FIDE (B),FIDE-Event-Code (B)
trnreg,field_event_code_fide_c,FIDE event code (C),FIDE-evenementcode (C),Code événement FIDE (C),FIDE-Event-Code (C)
trnreg,field_url,Website,Website,Site web,Webseite
trnreg,field_organizing_club,Organizing club,Organiserende club,Club organisateur,Organisierender Verein
trnreg,field_federation,Federation,Federatie,Fédération,Föderation
trnreg,section_arbiters,Arbiters,Arbiters,Arbitres,Schiedsrichter
trnreg,field_chief_arbiter_person_id,Chief arbiter person id,Licentienummer hoofdarbiter,Numéro de licence de l'arbitre principal,Lizenznummer Hauptschiedsrichter
trnreg,field_chief_arbiter_name,Chief arbiter name,Naam hoofdarbiter,Nom de l'arbitre principal,Name Hauptschiedsrichter
trnreg,field_chief_arbiter_email,Chief arbiter email,E-mail hoofdarbiter,E-mail de l'arbitre principal,E-Mail Hauptschiedsrichter
trnreg,field_chief_arbiter_phone,Chief arbiter phone,Telefoon hoofdarbiter,Téléphone de l'arbitre principal,Telefon Hauptschiedsrichter
trnreg,field_deputy_arbiter_1_person_id,Deputy arbiter 1 person id,Licentienummer adjunct-arbiter 1,Numéro de licence de l'arbitre adjoint 1,Lizenznummer stellvertretender Schiedsrichter 1
trnreg,field_deputy_arbiter_1_name,Deputy arbiter 1 name,Naam adjunct-arbiter 1,Nom de l'arbitre adjoint 1,Name stellvertretender Schiedsrichter 1
trnreg,field_deputy_arbiter_1_email,Deputy arbiter 1 email,E-mail adjunct-arbiter 1,E-mail de l'arbitre adjoint 1,E-Mail stellvertretender Schiedsrichter 1
trnreg,field_deputy_arbiter_2_person_id,Deputy arbiter 2 person id,Licentienummer adjunct-arbiter 2,Numéro de licence de l'arbitre adjoint 2,Lizenznummer stellvertretender Schiedsrichter 2
trnreg,field_deputy_arbiter_2_name,Deputy arbiter 2 name,Naam adjunct-arbiter 2,Nom de l'arbitre adjoint 2,Name stellvertretender Schiedsrichter 2
trnreg,field_deputy_arbiter_2_email,Deputy arbiter 2 email,E-mail adjunct-arbiter 2,E-mail de l'arbitre adjoint 2,E-Mail stellvertretender Schiedsrichter 2
trnreg,section_organizer,Organizer,Organisator,Organisateur,Organisator
trnreg,field_chief_organizer_person_id,Chief organizer person id,Licentienummer hoofdorganisator,Numéro de licence de l'organisateur principal,Lizenznummer Hauptorganisator
trnreg,field_chief_organizer_name,Chief organizer name,Naam hoofdorganisator,Nom de l'organisateur principal,Name Hauptorganisator
trnreg,field_chief_organizer_email,Chief organizer email,E-mail hoofdorganisator,E-mail de l'organisateur principal,E-Mail Hauptorganisator
trnreg,field_chief_organizer_phone,Chief organizer phone,Telefoon hoofdorganisator,Téléphone de l'organisateur principal,Telefon Hauptorganisator
trnreg,field_chief_arbiter_search,Search chief arbiter (name or FIDE id),Hoofdarbiter zoeken (naam of FIDE-nummer),Rechercher l'arbitre principal (nom ou numéro FIDE),Hauptschiedsrichter suchen (Name oder FIDE-Nummer)
trnreg,field_deputy_arbiter_1_search,Search deputy arbiter 1 (name or FIDE id),Adjunct-arbiter 1 zoeken (naam of FIDE-nummer),Rechercher l'arbitre adjoint 1 (nom ou numéro FIDE),Stellvertretenden Schiedsrichter 1 suchen (Name oder FIDE-Nummer)
trnreg,field_deputy_arbiter_2_search,Search deputy arbiter 2 (name or FIDE id),Adjunct-arbiter 2 zoeken (naam of FIDE-nummer),Rechercher l'arbitre adjoint 2 (nom ou numéro FIDE),Stellvertretenden Schiedsrichter 2 suchen (Name oder FIDE-Nummer)
trnreg,field_chief_organizer_search,Search chief organizer (name or FIDE id),Hoofdorganisator zoeken (naam of FIDE-nummer),Rechercher l'organisateur principal (nom ou numéro FIDE),Hauptorganisator suchen (Name oder FIDE-Nummer)
trnreg,selected_person,Selected,Geselecteerd,Sélectionné,Ausgewählt
trnreg,clear_selection,Clear,Wissen,Effacer,Entfernen
trnreg,no_person_selected,No person selected yet.,Nog geen persoon geselecteerd.,Aucune personne sélectionnée pour l'instant.,Noch keine Person ausgewählt.
trnreg,no_fide_id,No FIDE id,Geen FIDE-nummer,Pas de numéro FIDE,Keine FIDE-Nummer
trnreg,section_email_copies,Email copies,E-mailkopieën,Copies e-mail,E-Mail-Kopien
trnreg,field_email_copy_1,Email copy 1,E-mailkopie 1,Copie e-mail 1,E-Mail-Kopie 1
trnreg,field_email_copy_2,Email copy 2,E-mailkopie 2,Copie e-mail 2,E-Mail-Kopie 2
trnreg,field_email_copy_3,Email copy 3,E-mailkopie 3,Copie e-mail 3,E-Mail-Kopie 3
trnreg,save_btn,Save,Opslaan,Enregistrer,Speichern
trnreg,required_field,Required,Verplicht,Obligatoire,Erforderlich
trnreg,yes,Yes,Ja,Oui,Ja
trnreg,no,No,Nee,Non,Nein
trnreg,close_btn,Close,Sluiten,Fermer,Schließen
trnreg,system_SWISS,Swiss,Zwitsers,Suisse,Schweizer System
trnreg,system_SWISS_DBL,Swiss (double round),Zwitsers (dubbele ronde),Suisse (double ronde),Schweizer System (Doppelrunde)
trnreg,system_SWISS_ACCELERE,Accelerated Swiss,Versneld Zwitsers,Suisse accéléré,Beschleunigtes Schweizer System
trnreg,system_SWISS_321,Swiss 3-2-1,Zwitsers 3-2-1,Suisse 3-2-1,Schweizer System 3-2-1
trnreg,system_SWISS_BAKU,Swiss (Baku acceleration),Zwitsers (Bakoe-versnelling),Suisse (accélération Bakou),Schweizer System (Baku-Beschleunigung)
trnreg,system_SW_AMERICAIN,American Swiss,Amerikaans,Américaine,Amerikanisches System
trnreg,system_SW_AMERICAIN_DBL,American Swiss (double round),Amerikaans (dubbele ronde),Américaine (double ronde),Amerikanisches System (Doppelrunde)
trnreg,system_ROBIN,Round robin,Rondesysteem (iedereen tegen iedereen),Toutes rondes,Jeder-gegen-Jeden
trnreg,system_ROBIN_DBL,Round robin (double),Rondesysteem (dubbel),Toutes rondes (double),Jeder-gegen-Jeden (doppelt)
trnreg,system_ROBIN_AR,Round robin (armageddon),Rondesysteem (armageddon),Toutes rondes (armageddon),Jeder-gegen-Jeden (Armageddon)
trnreg,tc_Std,Standard,Standaard,Standard,Standard
trnreg,tc_Rapid,Rapid,Rapid,Rapide,Schnellschach
trnreg,tc_Blitz,Blitz,Blitz,Blitz,Blitz
